Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Graduated,Profession
1,24/11/2023,CUST001,Male,34,Beauty,3,50,150,Yes,Engineer
2,27/02/2023,CUST002,Female,,Clothing,2,500,1000,Yes,Healthcare
3,13/01/2023,CUST003,Male,50,Electronics,1,30,30,No,
4,21/05/2023,CUST004,Male,37,Clothing,1,500,500,No,Executive
5,06/05/2023,CUST005,Male,30,Beauty,2,50,100,No,Marketing
6,25/04/2023,CUST006,Female,,Beauty,1,30,30,Yes,Doctor
7,13/03/2023,CUST007,Male,46,Clothing,2,25,50,Yes,Doctor
8,22/02/2023,CUST008,Male,30,Electronics,4,25,100,Yes,Artist
9,13/12/2023,CUST009,Male,63,Electronics,2,300,600,Yes,Artist
10,07/10/2023,CUST010,Female,52,Clothing,4,50,200,No,Healthcare
11,14/02/2023,CUST011,,23,Clothing,2,50,100,No,Healthcare
12,30/10/2023,CUST012,Male,35,Beauty,3,25,75,No,Healthcare
13,05/08/2023,CUST013,Male,22,Electronics,3,500,1500,Yes,Artist
14,17/01/2023,CUST014,Male,64,Clothing,4,30,120,No,Healthcare
15,16/01/2023,CUST015,Female,,Electronics,4,500,2000,No,Doctor
16,17/02/2023,CUST016,Male,19,Clothing,3,500,1500,Yes,Artist
17,22/04/2023,CUST017,Female,,Clothing,4,25,100,Yes,Lawyer
18,30/04/2023,CUST018,,47,Electronics,2,25,50,Yes,Artist
19,16/09/2023,CUST019,Female,62,Clothing,2,25,50,Yes,Artist
20,05/11/2023,CUST020,Male,22,Clothing,3,300,900,Yes,Lawyer
21,14/01/2023,CUST021,Female,50,Beauty,1,500,500,No,Executive
22,15/10/2023,CUST022,Male,18,Clothing,2,50,100,No,Lawyer
23,12/04/2023,CUST023,Female,,Clothing,4,30,120,Yes,Artist
24,29/11/2023,CUST024,,49,Clothing,1,300,300,No,Executive
25,26/12/2023,CUST025,Female,64,Beauty,1,50,50,Yes,Healthcare
26,07/10/2023,CUST026,Female,28,Electronics,2,500,1000,No,Executive
27,03/08/2023,CUST027,Female,38,Beauty,2,25,50,Yes,Engineer
28,23/04/2023,CUST028,Female,43,Beauty,1,500,500,Yes,Healthcare
29,18/08/2023,CUST029,Female,42,Electronics,1,30,30,No,Lawyer
30,29/10/2023,CUST030,Female,39,Beauty,3,300,900,Yes,Lawyer
31,23/05/2023,CUST031,Male,44,Electronics,4,300,1200,No,Lawyer
32,04/01/2023,CUST032,Male,30,Beauty,3,30,90,Yes,Artist
33,23/03/2023,CUST033,Female,50,Electronics,2,50,100,No,Artist
34,24/12/2023,CUST034,Female,51,Clothing,3,50,150,Yes,Artist
35,05/08/2023,CUST035,Female,58,Beauty,3,300,900,Yes,Doctor
36,24/06/2023,CUST036,,52,Beauty,3,300,900,Yes,Artist
37,23/05/2023,CUST037,Female,18,Beauty,3,25,75,Yes,Artist
38,21/03/2023,CUST038,Male,38,Beauty,4,50,200,Yes,Artist
39,21/04/2023,CUST039,Male,23,Clothing,4,30,120,Yes,Artist
40,22/06/2023,CUST040,Male,45,Beauty,1,50,50,Yes,Artist
41,22/02/2023,CUST041,Male,34,Clothing,2,25,50,No,Healthcare
42,17/02/2023,CUST042,Male,22,Clothing,3,300,900,Yes,Executive
43,14/07/2023,CUST043,Female,48,Clothing,1,300,300,No,Healthcare
44,19/02/2023,CUST044,Female,,Clothing,1,25,25,Yes,Artist
45,03/07/2023,CUST045,Female,55,Electronics,1,30,30,No,Artist
46,26/06/2023,CUST046,Female,20,Electronics,4,300,1200,No,Lawyer
47,06/11/2023,CUST047,Female,40,Beauty,3,500,1500,No,Entertainment
48,16/05/2023,CUST048,Male,54,Electronics,3,300,900,Yes,Artist
49,23/01/2023,CUST049,Female,,Electronics,2,500,1000,No,Healthcare
50,24/08/2023,CUST050,Female,27,Beauty,3,25,75,No,Artist
51,02/10/2023,CUST051,,27,Beauty,3,25,75,Yes,Lawyer
52,05/03/2023,CUST052,Female,36,Beauty,1,300,300,No,Lawyer
53,13/07/2023,CUST053,Male,34,Electronics,2,50,100,Yes,Doctor
54,10/02/2023,CUST054,Female,38,Electronics,3,500,1500,Yes,Doctor
55,10/10/2023,CUST055,Male,31,Beauty,4,30,120,Yes,Executive
56,31/05/2023,CUST056,Female,26,Clothing,3,300,900,Yes,Lawyer
57,18/11/2023,CUST057,Female,63,Beauty,1,30,30,Yes,Entertainment
58,13/11/2023,CUST058,Male,18,Clothing,4,300,1200,Yes,Artist
59,05/07/2023,CUST059,Male,62,Clothing,1,50,50,Yes,Artist
60,23/10/2023,CUST060,Male,30,Beauty,3,50,150,Yes,Artist
61,09/04/2023,CUST061,Male,21,Beauty,4,50,200,No,Healthcare
62,27/12/2023,CUST062,Male,18,Beauty,2,50,100,Yes,Artist
63,05/02/2023,CUST063,Male,57,Electronics,2,25,50,No,Artist
64,24/01/2023,CUST064,Male,,Clothing,4,25,100,Yes,Artist
65,05/12/2023,CUST065,Male,51,Electronics,4,500,2000,Yes,Entertainment
66,27/04/2023,CUST066,,45,Electronics,1,30,30,Yes,Entertainment
67,29/05/2023,CUST067,Female,48,Beauty,4,300,1200,Yes,Artist
68,10/02/2023,CUST068,Male,25,Electronics,1,300,300,Yes,Lawyer
69,30/04/2023,CUST069,Female,56,Beauty,3,25,75,No,Healthcare
70,21/02/2023,CUST070,Female,43,Clothing,1,300,300,Yes,Artist
71,14/07/2023,CUST071,Female,51,Beauty,4,25,100,No,Entertainment
72,23/05/2023,CUST072,Female,20,Electronics,4,500,2000,Yes,Artist
73,21/08/2023,CUST073,Male,29,Electronics,3,30,90,Yes,Artist
74,22/11/2023,CUST074,Female,18,Beauty,4,500,2000,Yes,Healthcare
75,06/07/2023,CUST075,Male,61,Beauty,4,50,200,Yes,Artist
76,25/03/2023,CUST076,Female,,Electronics,2,50,100,Yes,Lawyer
77,09/07/2023,CUST077,Female,47,Clothing,2,50,100,No,Entertainment
78,01/07/2023,CUST078,Female,47,Clothing,3,500,1500,Yes,Artist
79,18/04/2023,CUST079,Male,34,Beauty,1,300,300,Yes,Doctor
80,10/12/2023,CUST080,Female,64,Clothing,2,30,60,Yes,Artist
81,17/05/2023,CUST081,Male,40,Electronics,1,50,50,No,Engineer
82,26/12/2023,CUST082,Female,32,Beauty,4,50,200,Yes,Lawyer
83,16/12/2023,CUST083,Male,54,Electronics,2,50,100,No,Lawyer
84,28/11/2023,CUST084,Female,38,Electronics,3,30,90,Yes,Artist
85,06/02/2023,CUST085,Male,31,Clothing,3,50,150,Yes,Artist
86,08/11/2023,CUST086,Male,19,Beauty,3,30,90,Yes,Executive
87,22/11/2023,CUST087,,28,Beauty,2,50,100,Yes,Lawyer
88,29/03/2023,CUST088,Male,56,Clothing,1,500,500,No,Healthcare
89,01/10/2023,CUST089,Female,55,Electronics,4,500,2000,Yes,Artist
90,06/05/2023,CUST090,Female,51,Electronics,1,30,30,Yes,Healthcare
91,25/03/2023,CUST091,Female,55,Electronics,1,500,500,Yes,Homemaker
92,25/08/2023,CUST092,Female,51,Electronics,4,30,120,Yes,Lawyer
93,14/07/2023,CUST093,Female,35,Beauty,4,500,2000,Yes,Lawyer
94,19/05/2023,CUST094,,47,Beauty,2,500,1000,Yes,Artist
95,24/11/2023,CUST095,Female,32,Clothing,2,30,60,Yes,Doctor
96,19/12/2023,CUST096,,44,Clothing,2,300,600,Yes,Doctor
97,13/10/2023,CUST097,Female,,Beauty,2,500,1000,Yes,Artist
98,23/04/2023,CUST098,,55,Beauty,2,50,100,No,Healthcare
99,17/12/2023,CUST099,Female,50,Electronics,4,300,1200,Yes,Artist
100,16/06/2023,CUST100,,41,Electronics,1,30,30,Yes,Artist
101,29/01/2023,CUST101,Male,32,Clothing,2,300,600,Yes,Entertainment
102,28/04/2023,CUST102,Female,47,Beauty,2,25,50,Yes,Entertainment
103,17/01/2023,CUST103,Female,59,Clothing,1,25,25,Yes,Healthcare
104,11/06/2023,CUST104,Female,34,Beauty,2,500,1000,Yes,Engineer
105,25/07/2023,CUST105,Female,22,Electronics,1,500,500,Yes,Executive
106,18/05/2023,CUST106,,46,Clothing,1,50,50,Yes,Marketing
107,03/02/2023,CUST107,Female,21,Clothing,4,300,1200,No,Doctor
108,19/04/2023,CUST108,Female,27,Beauty,3,25,75,No,Executive
109,18/10/2023,CUST109,Female,34,Electronics,4,500,2000,Yes,Healthcare
110,11/06/2023,CUST110,,27,Clothing,3,300,900,Yes,Artist
111,19/04/2023,CUST111,,34,Electronics,3,500,1500,Yes,Lawyer
112,02/12/2023,CUST112,Male,37,Clothing,3,500,1500,Yes,Artist
113,13/09/2023,CUST113,Female,41,Electronics,2,25,50,Yes,Doctor
114,22/07/2023,CUST114,Female,22,Beauty,4,25,100,Yes,Artist
115,26/11/2023,CUST115,Male,51,Clothing,3,500,1500,Yes,Artist
116,23/08/2023,CUST116,Female,23,Clothing,1,30,30,No,Homemaker
117,15/03/2023,CUST117,Male,19,Electronics,2,500,1000,Yes,Healthcare
118,16/05/2023,CUST118,Female,30,Electronics,4,500,2000,Yes,Engineer
119,13/03/2023,CUST119,Female,60,Clothing,3,50,150,No,Executive
120,07/05/2023,CUST120,Male,60,Beauty,1,50,50,Yes,Artist
121,15/10/2023,CUST121,Female,28,Electronics,4,50,200,Yes,Marketing
122,03/10/2023,CUST122,Male,64,Electronics,4,30,120,No,Engineer
123,15/05/2023,CUST123,Female,40,Electronics,2,30,60,No,Executive
124,27/10/2023,CUST124,Male,33,Clothing,4,500,2000,Yes,Artist
125,08/08/2023,CUST125,Male,48,Clothing,2,50,100,No,Engineer
126,26/10/2023,CUST126,Female,28,Clothing,3,30,90,Yes,Artist
127,24/07/2023,CUST127,Female,33,Clothing,2,25,50,Yes,Artist
128,05/07/2023,CUST128,Male,25,Beauty,1,500,500,No,Lawyer
129,23/04/2023,CUST129,Female,21,Beauty,2,300,600,Yes,Engineer
130,12/03/2023,CUST130,Female,57,Clothing,1,500,500,No,Entertainment
131,18/09/2023,CUST131,Female,21,Beauty,2,300,600,Yes,Artist
132,10/09/2023,CUST132,Male,42,Electronics,4,50,200,No,Lawyer
133,16/02/2023,CUST133,Male,20,Electronics,3,300,900,No,Healthcare
134,25/01/2023,CUST134,Male,49,Electronics,1,50,50,Yes,Artist
135,26/02/2023,CUST135,Male,20,Clothing,2,25,50,No,Doctor
136,20/03/2023,CUST136,Male,44,Electronics,2,300,600,Yes,Doctor
137,18/11/2023,CUST137,,,Beauty,2,500,1000,Yes,Lawyer
138,23/03/2023,CUST138,Male,,Clothing,4,50,200,Yes,Lawyer
139,15/12/2023,CUST139,Male,,Beauty,4,500,2000,Yes,
140,05/08/2023,CUST140,,38,Electronics,1,30,30,Yes,Artist
141,02/11/2023,CUST141,Female,22,Electronics,1,50,50,No,Doctor
142,02/02/2023,CUST142,Male,35,Electronics,4,300,1200,No,Executive
143,17/07/2023,CUST143,Female,45,Clothing,1,50,50,Yes,Doctor
144,15/07/2023,CUST144,,59,Beauty,3,500,1500,Yes,Lawyer
145,02/11/2023,CUST145,Female,39,Clothing,3,25,75,No,Healthcare
146,28/08/2023,CUST146,Male,38,Clothing,4,50,200,Yes,Entertainment
147,28/09/2023,CUST147,Male,23,Electronics,1,300,300,No,Healthcare
148,09/05/2023,CUST148,Male,18,Clothing,2,30,60,Yes,Doctor
149,11/10/2023,CUST149,Male,22,Clothing,3,25,75,No,Marketing
150,06/01/2023,CUST150,Female,58,Electronics,4,30,120,Yes,Lawyer
151,15/12/2023,CUST151,Male,29,Clothing,1,50,50,Yes,Artist
152,28/02/2023,CUST152,Male,43,Electronics,4,500,2000,Yes,Artist
153,16/12/2023,CUST153,Male,63,Electronics,2,500,1000,Yes,Artist
154,02/10/2023,CUST154,Male,51,Electronics,3,300,900,Yes,Artist
155,17/05/2023,CUST155,Male,31,Electronics,4,500,2000,Yes,Artist
156,25/11/2023,CUST156,,43,Clothing,4,25,100,Yes,Artist
157,24/06/2023,CUST157,Male,62,Electronics,4,500,2000,No,Lawyer
158,27/02/2023,CUST158,Female,44,Electronics,2,300,600,No,Marketing
159,31/05/2023,CUST159,Male,26,Clothing,4,50,200,Yes,Artist
160,11/08/2023,CUST160,Female,43,Clothing,2,50,100,Yes,Artist
161,22/03/2023,CUST161,Male,64,Beauty,2,500,1000,Yes,Artist
162,21/08/2023,CUST162,Male,39,Clothing,2,30,60,Yes,Artist
163,02/01/2023,CUST163,Female,64,Clothing,3,50,150,Yes,Artist
164,15/05/2023,CUST164,Female,47,Beauty,3,500,1500,Yes,Healthcare
165,14/09/2023,CUST165,Female,60,Clothing,4,300,1200,No,Artist
166,02/04/2023,CUST166,Male,34,Clothing,4,500,2000,Yes,Entertainment
167,17/09/2023,CUST167,Female,43,Clothing,3,50,150,No,Lawyer
168,24/02/2023,CUST168,Male,53,Clothing,1,300,300,No,Marketing
169,17/11/2023,CUST169,Male,18,Beauty,3,500,1500,Yes,Lawyer
170,02/06/2023,CUST170,Female,25,Clothing,2,25,50,Yes,Artist
171,24/11/2023,CUST171,Female,52,Clothing,3,300,900,Yes,Lawyer
172,17/09/2023,CUST172,Male,32,Beauty,2,25,50,No,Lawyer
173,08/11/2023,CUST173,Male,,Electronics,4,30,120,Yes,Healthcare
174,12/04/2023,CUST174,Female,39,Beauty,1,300,300,Yes,Engineer
175,20/03/2023,CUST175,Female,31,Electronics,4,25,100,No,Lawyer
176,11/07/2023,CUST176,Female,43,Beauty,2,50,100,Yes,Healthcare
177,24/03/2023,CUST177,,45,Beauty,2,50,100,Yes,Lawyer
178,04/10/2023,CUST178,Male,,Clothing,2,30,60,Yes,Engineer
179,29/09/2023,CUST179,Male,31,Electronics,1,300,300,Yes,Artist
180,01/01/2023,CUST180,Male,41,Clothing,3,300,900,,
181,03/11/2023,CUST181,Male,19,Electronics,4,300,1200,Yes,Artist
182,15/06/2023,CUST182,Male,62,Beauty,4,30,120,Yes,Healthcare
183,08/09/2023,CUST183,Female,43,Beauty,3,300,900,Yes,Homemaker
184,10/01/2023,CUST184,Male,31,Electronics,4,50,200,Yes,Artist
185,27/02/2023,CUST185,Male,24,Clothing,1,25,25,No,Healthcare
186,05/07/2023,CUST186,,20,Clothing,4,50,200,Yes,Artist
187,07/06/2023,CUST187,Female,64,Clothing,2,50,100,Yes,Entertainment
188,03/05/2023,CUST188,Male,40,Clothing,3,25,75,Yes,Lawyer
189,30/01/2023,CUST189,Male,63,Beauty,1,50,50,Yes,Artist
190,04/05/2023,CUST190,Female,60,Beauty,3,30,90,Yes,Doctor
191,18/10/2023,CUST191,Male,64,Beauty,1,25,25,Yes,Executive
192,10/02/2023,CUST192,Male,62,Beauty,2,50,100,No,Lawyer
193,13/02/2023,CUST193,Male,35,Beauty,3,500,1500,Yes,Artist
194,06/09/2023,CUST194,Male,55,Clothing,4,50,200,No,
195,05/02/2023,CUST195,,52,Clothing,1,30,30,No,Entertainment
196,30/09/2023,CUST196,Female,32,Clothing,3,300,900,Yes,Artist
197,06/03/2023,CUST197,Female,42,Clothing,4,50,200,Yes,Artist
198,07/03/2023,CUST198,Female,54,Beauty,3,300,900,Yes,Artist
199,04/12/2023,CUST199,Male,45,Beauty,3,500,1500,Yes,Artist
200,01/09/2023,CUST200,Male,27,Beauty,3,50,150,Yes,Artist
201,09/10/2023,CUST201,Male,56,Electronics,1,25,25,No,Healthcare
202,26/03/2023,CUST202,Female,34,Clothing,4,300,1200,Yes,Artist
203,16/05/2023,CUST203,Male,,Clothing,2,500,1000,Yes,Artist
204,28/09/2023,CUST204,Male,39,Beauty,1,25,25,No,Lawyer
205,07/11/2023,CUST205,Female,43,Clothing,1,25,25,Yes,Entertainment
206,05/08/2023,CUST206,Male,61,Clothing,1,25,25,Yes,Doctor
207,19/04/2023,CUST207,Female,42,Beauty,2,25,50,No,Healthcare
208,04/10/2023,CUST208,Female,34,Electronics,4,50,200,No,Healthcare
209,20/12/2023,CUST209,Female,30,Electronics,4,50,200,Yes,Entertainment
210,13/04/2023,CUST210,Male,37,Electronics,4,50,200,Yes,Doctor
211,01/01/2024,CUST211,Male,42,Beauty,3,500,1500,No,Healthcare
212,09/06/2023,CUST212,Male,21,Clothing,3,500,1500,No,Engineer
213,24/07/2023,CUST213,Male,27,Beauty,3,500,1500,No,Entertainment
214,10/12/2023,CUST214,Male,20,Beauty,2,30,60,No,Marketing
215,29/11/2023,CUST215,Male,,Clothing,3,500,1500,No,Marketing
216,11/07/2023,CUST216,,62,Electronics,2,50,100,No,Engineer
217,13/08/2023,CUST217,Female,35,Electronics,4,50,200,Yes,Artist
218,22/09/2023,CUST218,Male,64,Beauty,3,30,90,Yes,Artist
219,20/08/2023,CUST219,Female,53,Electronics,3,30,90,Yes,Artist
220,03/03/2023,CUST220,Male,64,Beauty,1,500,500,No,Artist
221,07/05/2023,CUST221,Male,39,Beauty,2,300,600,Yes,Lawyer
222,26/04/2023,CUST222,Male,51,Clothing,4,30,120,No,Healthcare
223,02/02/2023,CUST223,Female,64,Clothing,1,25,25,Yes,Entertainment
224,23/06/2023,CUST224,Female,25,Clothing,1,50,50,Yes,Artist
225,11/01/2023,CUST225,Female,57,Beauty,4,25,100,No,Artist
226,29/10/2023,CUST226,Female,61,Clothing,1,50,50,Yes,Lawyer
227,11/10/2023,CUST227,Male,,Electronics,2,50,100,Yes,Artist
228,28/04/2023,CUST228,Female,59,Electronics,2,30,60,Yes,Engineer
229,29/10/2023,CUST229,Male,58,Beauty,3,30,90,No,Artist
230,23/04/2023,CUST230,Male,54,Beauty,1,25,25,Yes,Artist
231,04/01/2023,CUST231,,23,Clothing,3,50,150,No,Executive
232,06/02/2023,CUST232,Female,43,Beauty,1,25,25,No,Healthcare
233,29/12/2023,CUST233,Female,51,Beauty,2,300,600,No,Healthcare
234,20/11/2023,CUST234,Female,62,Electronics,2,25,50,No,Healthcare
235,31/01/2023,CUST235,Female,23,Electronics,2,500,1000,Yes,Executive
236,28/04/2023,CUST236,Female,54,Clothing,1,25,25,Yes,Artist
237,04/02/2023,CUST237,Female,50,Beauty,2,500,1000,No,Lawyer
238,17/01/2023,CUST238,Female,39,Beauty,1,500,500,No,Healthcare
239,19/06/2023,CUST239,Male,38,Electronics,3,500,1500,No,Lawyer
240,06/02/2023,CUST240,,23,Beauty,1,300,300,No,Artist
241,21/09/2023,CUST241,Female,23,Electronics,3,25,75,Yes,Artist
242,02/05/2023,CUST242,Male,21,Clothing,1,25,25,Yes,Artist
243,23/05/2023,CUST243,Female,,Electronics,3,300,900,No,Executive
244,09/12/2023,CUST244,Male,28,Beauty,2,50,100,No,Artist
245,06/09/2023,CUST245,Male,47,Clothing,3,30,90,No,Lawyer
246,20/04/2023,CUST246,Female,48,Electronics,2,25,50,Yes,Artist
247,04/10/2023,CUST247,Male,41,Electronics,2,30,60,No,Artist
248,09/03/2023,CUST248,Male,26,Clothing,3,300,900,No,Healthcare
249,20/10/2023,CUST249,Male,20,Clothing,1,50,50,Yes,Doctor
250,23/10/2023,CUST250,Male,48,Electronics,1,50,50,Yes,Entertainment
251,31/08/2023,CUST251,Female,57,Beauty,4,50,200,No,Entertainment
252,05/05/2023,CUST252,Male,54,Electronics,1,300,300,Yes,Engineer
253,31/08/2023,CUST253,Female,53,Clothing,4,500,2000,Yes,Artist
254,28/07/2023,CUST254,Male,41,Electronics,1,500,500,Yes,Artist
255,08/04/2023,CUST255,Male,48,Clothing,1,30,30,Yes,Engineer
256,18/02/2023,CUST256,Male,23,Clothing,2,500,1000,No,Artist
257,19/02/2023,CUST257,Male,19,Beauty,4,500,2000,No,Engineer
258,04/12/2023,CUST258,Female,,Clothing,1,50,50,No,Doctor
259,09/08/2023,CUST259,Female,45,Clothing,4,50,200,Yes,Artist
260,01/07/2023,CUST260,Male,28,Beauty,2,30,60,Yes,Doctor
261,05/08/2023,CUST261,,21,Clothing,2,25,50,Yes,Entertainment
262,30/07/2023,CUST262,Female,32,Beauty,4,30,120,No,Executive
263,28/08/2023,CUST263,Male,23,Beauty,2,30,60,Yes,Engineer
264,28/01/2023,CUST264,Male,47,Clothing,3,300,900,No,Healthcare
265,11/12/2023,CUST265,Male,55,Clothing,3,300,900,No,
266,01/12/2023,CUST266,Female,19,Electronics,2,30,60,Yes,Executive
267,27/11/2023,CUST267,Female,32,Beauty,3,30,90,Yes,Healthcare
268,20/02/2023,CUST268,Female,28,Electronics,1,30,30,Yes,Artist
269,01/02/2023,CUST269,Male,25,Clothing,4,500,2000,No,Executive
270,26/07/2023,CUST270,Male,43,Electronics,1,300,300,No,Entertainment
271,23/06/2023,CUST271,Female,62,Beauty,4,30,120,Yes,Entertainment
272,25/02/2023,CUST272,Female,61,Electronics,2,50,100,No,Lawyer
273,08/05/2023,CUST273,Female,22,Beauty,1,50,50,No,Artist
274,09/04/2023,CUST274,Female,23,Clothing,2,500,1000,Yes,Artist
275,08/04/2023,CUST275,Male,43,Clothing,2,500,1000,Yes,Marketing
276,02/10/2023,CUST276,Female,21,Beauty,4,25,100,No,Healthcare
277,18/08/2023,CUST277,Male,36,Clothing,4,25,100,No,Entertainment
278,13/03/2023,CUST278,Female,,Clothing,4,25,100,Yes,Entertainment
279,05/08/2023,CUST279,,50,Clothing,1,500,500,No,Artist
280,04/04/2023,CUST280,Female,37,Clothing,3,500,1500,No,Artist
281,23/05/2023,CUST281,Female,29,Beauty,4,500,2000,Yes,Homemaker
282,25/08/2023,CUST282,Female,64,Electronics,4,50,200,Yes,Artist
283,08/05/2023,CUST283,Female,18,Electronics,1,500,500,Yes,Artist
284,08/02/2023,CUST284,Male,43,Clothing,4,50,200,Yes,Artist
285,15/08/2023,CUST285,,31,Electronics,1,25,25,No,Healthcare
286,09/10/2023,CUST286,Male,55,Electronics,2,25,50,Yes,Artist
287,20/02/2023,CUST287,Male,54,Clothing,4,25,100,Yes,Marketing
288,26/01/2023,CUST288,,28,Clothing,4,30,120,No,Executive
289,30/11/2023,CUST289,Male,53,Electronics,2,30,60,Yes,Artist
290,04/10/2023,CUST290,Female,30,Beauty,2,300,600,Yes,Entertainment
291,08/01/2023,CUST291,Male,60,Clothing,2,300,600,Yes,Artist
292,17/02/2023,CUST292,Male,20,Beauty,4,300,1200,Yes,Artist
293,02/05/2023,CUST293,Male,50,Electronics,3,30,90,Yes,Artist
294,27/03/2023,CUST294,Female,23,Clothing,3,30,90,Yes,Artist
295,28/07/2023,CUST295,Female,27,Beauty,3,300,900,Yes,Artist
296,06/09/2023,CUST296,,,Clothing,4,300,1200,Yes,Artist
297,04/09/2023,CUST297,Female,40,Electronics,2,500,1000,Yes,Doctor
298,20/04/2023,CUST298,Male,27,Beauty,4,300,1200,Yes,Artist
299,25/07/2023,CUST299,Male,61,Electronics,2,500,1000,Yes,Artist
300,31/01/2023,CUST300,Female,19,Electronics,4,50,200,Yes,Artist
301,26/03/2023,CUST301,Male,30,Clothing,4,30,120,Yes,Entertainment
302,14/07/2023,CUST302,,57,Beauty,2,300,600,Yes,Artist
303,02/01/2023,CUST303,,19,Electronics,3,30,90,Yes,Artist
304,19/07/2023,CUST304,Female,37,Electronics,2,30,60,Yes,Artist
305,16/05/2023,CUST305,Female,18,Beauty,1,30,30,No,Artist
306,21/08/2023,CUST306,Male,54,Electronics,1,50,50,Yes,Entertainment
307,27/05/2023,CUST307,Female,26,Electronics,2,25,50,No,Entertainment
308,05/08/2023,CUST308,Female,34,Beauty,4,300,1200,Yes,Entertainment
309,23/12/2023,CUST309,Female,26,Beauty,1,25,25,No,Entertainment
310,12/10/2023,CUST310,Female,28,Beauty,1,25,25,No,Entertainment
311,05/12/2023,CUST311,Female,32,Beauty,4,25,100,Yes,Entertainment
312,07/09/2023,CUST312,Male,41,Clothing,4,30,120,Yes,Entertainment
313,21/03/2023,CUST313,Female,55,Beauty,3,500,1500,Yes,Entertainment
314,08/04/2023,CUST314,Male,52,Clothing,4,30,120,Yes,
315,01/06/2023,CUST315,Male,47,Clothing,2,30,60,Yes,Homemaker
316,22/04/2023,CUST316,Female,48,Clothing,2,25,50,Yes,Artist
317,30/01/2023,CUST317,Male,22,Electronics,3,30,90,Yes,Artist
318,24/10/2023,CUST318,,,Clothing,1,25,25,Yes,Entertainment
319,05/10/2023,CUST319,Male,31,Clothing,1,500,500,Yes,Artist
320,01/02/2023,CUST320,Female,28,Electronics,4,300,1200,Yes,Lawyer
321,10/06/2023,CUST321,Female,26,Electronics,2,25,50,Yes,Artist
322,30/01/2023,CUST322,Male,51,Electronics,1,500,500,No,Entertainment
323,26/01/2023,CUST323,Female,29,Beauty,3,300,900,Yes,Marketing
324,27/10/2023,CUST324,Female,52,Electronics,3,50,150,No,Marketing
325,02/09/2023,CUST325,Female,52,Electronics,2,25,50,Yes,Artist
326,15/09/2023,CUST326,Female,18,Clothing,3,25,75,Yes,Engineer
327,29/09/2023,CUST327,Male,57,Electronics,3,50,150,Yes,Artist
328,22/03/2023,CUST328,Male,39,Beauty,2,50,100,No,Doctor
329,30/01/2023,CUST329,Female,46,Electronics,4,25,100,Yes,Artist
330,18/09/2023,CUST330,Female,25,Beauty,4,50,200,Yes,Homemaker
331,11/02/2023,CUST331,Male,28,Electronics,3,30,90,No,Lawyer
332,06/04/2023,CUST332,Male,58,Electronics,4,300,1200,Yes,Artist
333,05/02/2023,CUST333,,54,Electronics,4,300,1200,Yes,Lawyer
334,01/11/2023,CUST334,Male,31,Electronics,3,300,900,Yes,Artist
